,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
1368,daily-dialogue-0087-triplet-5,0,"What does 'emotional' cause?","Are you going to the movie theater with me tonight ? Is there anything good playing ? Titanic is playing tonight . It's a blockbuster . Really ? I want to go , too . OK , let's meet at the movie theater entrance tonight . Don ’ t be late . No problem . ( After watching the movie . ) Are you crying ? I get a lump in my throat whenever I see a tragic movie . Tragic movie ? I think it's a love story . But their love is touching ! Ah , you're just too emotional . I am not ! ",causes,gen,"meet at the movie theater entrance","touching","movie","good playing",1
3138,dream-0353-triplet-1,0,"Which goal motivates the act/action 'come down'?","Where is Jimmy? Why hasn't he come down for breakfast? Needn't he go to school today? He's still in bed in his room. What's the matter with our dear son? He's feeling terrible. I think he must have caught a bad cold. Well, we must call the doctor. Yes. Can you remember the doctor's telephone number'? Yes. It's 7546 2811. ",motivated by goal,gen,"7546 2811","breakfast","go to school","call the doctor",1
1031,mutual-0273-triplet-2,0,"When does 'got to see a lot of famous places' happen?","lisa , did you enjoy your trip to england ? yes , i did . we met some nice people there and i got to see a lot of famous places . where did you go ? we visited buckingham palace , tower of london and the british museum on the first day . the next day , we went to hyde park and london zoo . then we went on a boat ride on the thames river . ",happens in,gen,"trip to england","boat ride on the thames river","first day","london zoo",0
3103,dream-0345-triplet-1,0,"What does 'hit by a car' cause?","What's the matter? Your bike is in bad shape. It was hit by a car yesterday. Good God! Were you hurt? I'm all right. I was not riding it then. Oh, good for you! But what happened? I was in a hurry yesterday and I put the bike at the back of a car. The driver didn't see it and... And the bike was run over by the car. Both its wheels were damaged. They are being repaired now. It was lucky that you didn't get hurt. Yeah. But it's a pity I can't ride my bike this weekend. Oh. Did you have a weekend plan? Yeah. I planned to go sightseeing with friends by bike. Well, you can use mine if you'd like to. Thank you very much. ",causes,gen,"bike is in bad shape","use mine","what happened","good",0
120,daily-dialogue-1065-triplet-8,0,"What is implied by 'world becomes open'?","Gosh , another stop . It seems the cars ahead of us have to stop every two minutes , It's no quicker than a bus . That's true . During rush hours , taxis are just as quick as buses . It was silly of me to have taken a taxi . At least , it can free you from the crowd . By the way , do you come from China ? No , from New Zealand , sir . I visited New Zealand and saw lots of overseas people there . Wow , like America . It receives a great number of visitors every year . The more the world becomes open , the more people become international ! ",implies,gen,"free you from the crowd","come","Gosh","people become international",3
3723,dream-0867-triplet-6,0,"What does 'Disneyland' have?","Where are you going for your holiday this year, Jane? Florida. Great! How long are you going to stay there? One week. Just for Christmas time. Have you got any friends there? No. I have always wanted to go, but I've been too busy. Now I've got a week's holiday, and I can enjoy Christmas special prices. My dream will come true. Lovely! I guess you will certainly go to Disneyland. You are right. You have been there, haven't you? Yes, but just a couple of days. Tell me something about it, will you? There are so many things to see in the park. It has several main sections. They are named Main Street, Frontier Land, Fantasy Land, Tomorrow Land and Adventure Land. The park is often called a 'Magic Kingdom'. It must be an unforgettable experience for you. That's true, especially the Magic Mountain and Fantasy Land. I'm sure you'll enjoy your visit too. Thank you. I believe so. ",has a,gen,"Adventure Land","Christmas special prices","it","Thank you",0
2790,dream-0138-triplet-2,0,"What is 'vitamins'?","Hello? Hello. Is that Dr. Bean? Yes, it is. Dr. Bean, I'm making a survey for the National Research Company. I'd like to ask you a few questions about your health habits. OK. First question: How often do you take medicine? I sometimes take aspirin, but that's all. Do you take vitamins? No, I never do. How about exercise? Well, I often play tennis or handball. Do you eat any healthy food? No, I just try to eat good food. Well, I've finished. Thank you for your help. ",is a,gen,"aspirin","play tennis","medicine","How about",2
3360,dream-0431-triplet-6,0,"What does 'I had left my bag in his car' cause?","Come to my office, Billy. Look at your messy hair. This is the third time you have been late for class within this week. And every time you went in, you disturbed the teacher's class. Sorry, Miss. I didn't mean to do that, but it was my alarm clock that didn't wake me up. That is not a proper excuse. You could set it ahead of the exact time so that you could have got up earlier and not have been late. I did that, but it seemed useless when I found the batteries had run out after I woke up this morning. I rushed to school and luckily, my neighbour Mr. Green gave me a hand and took me to school with his car. So you could have made it. But you were still late for class. The thing is, when I got off, I found I had left my bag in his car. And it was too late to get it back when I realized that. I went straight to the nearest shop and gave him a call. I waited for five minutes before Mr. Green drove back. Finally, he gave you your bag and you came to the classroom and you were already 15 minutes late for class at that time. Is that all? Miss, you seem to know the entire story. May I go back to class now? Otherwise I will be late for the following class. ",causes,gen,"batteries had run out","know the entire story","go back to class","15 minutes late for class at that time",3
3854,dream-0456-triplet-3,0,"What property does 'become an engineer' have?","Don't tell me you're studying for another exam! That's exactly what I am doing. What subject is it this time? Biology, and it's going to be a hard one. Don't you get tired of studying all the time? Yes, I do. Sometimes I want to throw all of them right out of the window. I don't know how you keep on with it. It's too hard to become a doctor. Well, you study a lot too. It doesn't seem any easier to become an engineer. But at least it doesn't take as long. I'll be out putting up the buildings while you're still a student here. By the way, can I help you with your study now? Yes, please. You can read me all these words and see if I know what they mean. I don't know if you'll remember all of them. You have to learn just as many words as I do, and they're all technical words that I don't understand. curiosity",has property,gen,"know what they mean","remember","it doesn't take as long","throw all of them",2
3055,dream-0326-triplet-2,0,"What property does 'speak a second language' have?","What can I do for you? It's about the new clerks you need for the offices. I'm wondering how many people you want to employ. That depends on what you would like. I think I'd need about 30 hours a week, including some Saturdays. What do you think? That's what I was thinking too. We don't want someone who has never worked in the office before. Yes. It might be helpful if one could speak a second language. That might prevent too many people asking for the jobs. What about pay, David? What do you think would be the best to offer? I think it depends on experience. However, the lowest we could offer is about $ 9,000 per year. ",has property,gen,"prevent too many people asking for the jobs","pay","helpful","experience",2
733,dream-0288-triplet-7,0,"What is 'vacation' obstructed by?","Still feeling ill? Yes. And that medicine hasn't helped. Not a good start to our vacation, I'm afraid. Do you have any idea what caused it? Well, I thought it might be last night's dinner. But I am fine. Could it be the heat? It's enough to make anyone ill. I know. But we've been here a week now. Anyway, I've been careful in the sun and I've been drinking bottled water. Then we'd better stay in the hotel today. not become ill from the heat getting used to the heat",obstructed by,gen,"make anyone ill","medicine","what caused it","feeling ill",3
4159,dream-0019-triplet-2,0,"Where is 'visit a friend' located?","Betty, where did you go yesterday? I went to visit a friend of mine in the hospital. What did you talk about? We talked about a lot of different things. Did you talk about the weather? Yes, we did. We talked about the weather and about languages. Did your friend ask you any questions? Yes, she did. I answered almost all of her questions. Did you ask your friend any questions? Yes, I did. I asked her quite a few questions. How long did you stay there? About half an hour. ",at location,gen,"where did you go yesterday","I did.","hospital","asked her",2
528,dream-0230-triplet-5,0,"What prerequisite does 'job cover letter' have?","Jack, would you please read this letter I've just written? I'd like to have your opinion. I'd be glad to tell you what I think. If you don't think it's any good, please say so. I really want to get this job. It looks fine to me. But I have one suggestion. What is it? If I were you, I'd change the beginning. You should write about your education first. Good idea, Jack. What do you think about the second part? Well, I'm afraid it's too short. You should include much more information about your work experience. You're right. I'll change it. job cover letter write job cover letter make the cover letter better",has prerequisite,gen,"write about your education first","second part","job","opinion",0
2706,dream-0115-triplet-6,0,"What desire is caused by 'Chinese team has always played badly'?","Hello, John. How was your French exam yesterday? Not too good. Well, the term exam is always more difficult. Work harder, and you'll certainly do better next time. I've worked hard enough, I think, but unluckily, I have never done well in the exam. Well, it's no use worrying about the exam now. Let's talk about the football game tonight. It's much more interesting. Is there a football game on TV tonight? Yes it's between the Chinese team and the Japanese team. ... Er I'd rather watch some other programmes. Why? You're so interested in football. The Chinese team has always played badly in the important match, just as I have done in the important exam. ",causes desire,gen,"worrying about the exam","watch some other programmes","worked hard enough","interesting",1
2846,dream-0149-triplet-7,0,"What does 'write your own project' cause?","Hi, David! Mr. Harper has just asked me if you'd finished your project yet. It was supposed to be handed in yesterday. I know. I'm just finishing it now. He wanted to know if we'd done them together. I said no. What's yours on? It took me ages to do mine. Well, I was really lucky. I found this book all about the population in New Zealand cities. Is it good? Yes, it's a great book! I photocopied three chapters. There are some brilliant charts and... What are you going to do with all that? Well, now I'm going to copy these pages and these charts and then I'll finish my project! You're not supposed to just copy the book. Oh! I think Mr. Harper won't know. He will know! He asked us to write a list of all the books we'd used. Remember? That's not the point anyway. What is the point then? Well, the point is that you're supposed to write your own project--you can't copy someone else's writing. Er... er... Well, you're right. Thank you for your reminding me of that. ",causes,gen,"Oh","population in New Zealand cities","finished your project","won't know",2
3428,dream-0804-triplet-8,0,"What desire is caused by 'can't give you any of them'?","Can I help you? Yes, I'd like to read some articles that are on reserve about British culture. Professor Grand's class? That's right. How could you know? Let's just say you are not the first person coming in asking for those articles. Oh, well, seeing as how I haven't read any of them yet, it doesn't really matterwhich one you give me first. I'm afraid I can't give you any of them at the moment. They've all been checked out. You're joking, all of them? Every month. I've asked professor Grand twice already to bring in additional copies of the articles, but no sooner do I place them on the shelves than they are gone. See that girl in the black sweater? She's been waiting for half an hour for those same articles to be returned. And here's me. I went out of my way to free out the whole afternoon to read. I'm sorry, but there is not a whole lot I can do about it. All I can suggest is that you come in first thing tomorrow morning and try again. We open at eight. ",causes desire,gen,"asking for those articles","Can I help you","open","try again",3
3527,dream-0822-triplet-2,0,"Which goal motivates the act/action 'want a lipstick'?","Welcome, Miss. May I help you? I hope so. I want a lipstick. Do you have any particular brand in mind? I like Lyfel very much. We have different shades of Lyfel lipstick. May I know what color you usually wear? Pink. But today, I'm thinking of buying one in a dark shade. You know, I will be a teacher next month. I wish to look more serious. Yes, I see. How do you like this one? Not too bad. May I have a try? Certainly, Miss. Mmm... It's still too bright. Any darker shades? Not from the Lyfel group, I'm afraid. Well, any brand will do as long as I can get the right color. How about this one, then? It has more transparent touch. OK, that's the very thing I need. ",motivated by goal,gen,"this one,","look more serious","Not too bad","Mmm...",1
2489,mutual-1176-triplet-2,0,"What does 'bought them before we moved' cause?","hi , mister roger . my name is patty grace . and i 'm calling about the oak furniture said i saw advertised in the newspaper . can you tell me what condition the items are in ? there are in excellent condition . in fact , they 've hardly been used at all . my wife and i bought them before we moved . and there just is n't enough room in our new apartment for all of them . ",causes,gen,"mister roger","is n't enough room in our new apartment for all of them","hardly been used","oak furniture",1
220,daily-dialogue-1158-triplet-1,0,"What prerequisite does 'go abroad' have?","Have you packed our passports ? Not yet . Do we need to take it with us ? Of course . Otherwise I cannot go abroad . Is that hard to get a passport ? Not at all . But we do need to keep it with us all the time . It is hard to believe this little thing is so valuable to us . ",has prerequisite,gen,"cannot go abroad","passports","passport","keep it with us",1
750,dream-0561-triplet-4,0,"What does 'asked her in for an interview' cause?","Hello. Matt White speaking. Hello, Dr. White, my name's Pan Johnson. My roommate, Janet Holmes, wanted me to call you. Janet Holmes? Oh, that's right. She's in my Shakespearean English class. Has anything happened to her? Nothing, it's just that she submitted a job application yesterday and the company asked her in for an interview today. She's afraid she won't be able to attend your class this afternoon. I'm calling to see whether it would be OK if I gave you her essay. Certainly, that would be fine. Uh, you can either drop it off at my class or bring it to my office. Would it be all right to come by your office around 4:00? I'm afraid I can't come any earlier because I have three classes this afternoon. Uh, I won't be here when you come. I'm supposed to be at a meeting from 3:00 to 6:00, but how about leaving it with my secretary? She usually stays until 5:00. Fine, please tell her I'll be there at 4:00. And Dr. White, one more thing, could you tell me where your office is? Janet told me where your class is, but she didn't give me directions to your office. Well, I'm in Room 302 of the Gregory Building. I'll tell my secretary to put the paper in my mail box, and I'll get it when I return. I sure appreciate it. Goodbye, Dr. White. Goodbye, Ms. Johnson. find a job",causes,gen,"I'll get it when I return","she won't be able to attend your class","won't be able to attend your class","tell me where your office",2
960,dream-0605-triplet-16,0,"Which goal motivates the act/action 'checked the course over at the community college'?","Hi, Kevin. How is it going? Ah, not so great. What's wrong? I've got a big problem with the Shakespeare course which is required for my major. Is that all filled up? No, there's plenty of room, but I have to take the starter course before I can take Professor Miller's Shakespeare course. It is only offered in the evening. You don't like evening classes? That's not the point. I work in the cafe every evening. I need the money to pay my tuition. You can ask someone that could switch hours with you. Maybe just switch a couple of evenings since the course probably only meets two times a week. I wish I could. My boss just did me a favor by putting me on evenings. And he'll hit the ceiling if I ask to change again. Wait a minute. I have an idea. Have you checked the course over at the community college? They might offer an introductory course during the day. That's a great idea. I'm free this afternoon. I'll go over and check it out. Their courses are actually cheaper. Thanks for your advice. I'll let you know what happens. Sure. Good luck! attend the course in evening",motivated by goal,gen,"courses are actually cheaper","filled up","evening classes","course during the day",3
1011,mutual-0255-triplet-1,0,"What does 'find it very interesting' cause?","jack , what is your favorite subject ? my favorite subject ? well , i think i prefer science . yes , science , i find it very interesting . the science teacher makes the subject very exciting . what about you ? i always do very well in the maths tests . i also like geography . i like learning about people and the places where they live . are there any subjects that you do n't like jack ? i do n't like physics very much . it 's not easy to understand , most of the children are bored with it . ",causes,gen,"interesting","prefer science","do n't like physics very much","you do n't like jack",1
4014,dream-0496-triplet-18,0,"What is 'getting a check-up' similar to?","Good morning, Mrs. Wong. How are you? I haven't seen you around the building for the last couple of weeks. Is everything alright? Morning, Mr. Jones. No, I haven't been out much recently. I've been feeling a bit under the weather. I'm sorry to hear that. I hope you don't mind me saying, but you don't look very well. Your face is very pale. Perhaps you need some fresh air to bring the color back to your cheeks. It's a lovely day outside today. That's just what I thought. I'm going to go for a walk in the park and then pop into the supermarket. You look as if you've lost weight as well. I haven't been eating like I usually do. Usually, I love my food, but these last two weeks I just haven't felt cooking and I've eaten very little. Most unlike me. Have you been to the doctor? What did she say? I didn't bother going to the doctor. It's nothing serious. You never know. If you've been feeling like this for two weeks, it's worth getting a check-up just to be sure. ",similar to,gen,"been to the doctor","Good morning","love my food","you don't look very well",0
3278,dream-0386-triplet-2,0,"What does 'fainted' cause?","911. Help. I need some help! Yes sir. Can you tell me what is happening? I'm at the university and a student of mine suddenly fell down, knocked her head on the step, and fainted right at this very moment. Yes sir. Can you tell me exactly where you are? On the...on the ...I'm sorry, I'm too nervous right now. We're on the second floor of Cutler Hall, Room 211. I understand, sir. May I have your name and the student's name? Her name is...uh...Anita Rivera. And my name's Lawrence Clark. I'm a professor here at the university. Okay, who is there with you? Um, Anita and two other students. They're watching her while I call. Do you think we should drive her to the hospital? No, an ambulance is already on its way. It should be there very soon. Uh, what should we do while we wait for it to come? Just keep her calm and warm. Okay, well do that. Thank you. ",causes,gen,"understand","nervous","do that","Can you tell me what is happening",1
1672,daily-dialogue-0398-triplet-6,0,"What does 'too lazy' cause?","Dad , how do you say this word ? Sword , say it ' sword ' . What does this word mean ? Look it up in the dictionary . Dad , can you just tell me what it means ? I'm too lazy . No , honey , go and read it . You'll learn . do not want to look up the dictionary",causes,gen,"Sword","tell me what it means","dictionary","say this word",1
2775,dream-0129-triplet-10,0,"What happens after 'leaving'?","Hello, Yang Mei. I hear you're going to the United States. Yes. I'm going with my grandma. We're going to see my parents in New Jersey. When are you leaving, then? This Friday evening. Our plane leaves at seven fifteen. How long will you be there? Six months. Six months! Do you go and see my grandparents in New York? Of course, I will. I want to see as many places as I can. How can I travel? Most people travel by car. The roads are very good. But I don't have a car and I can't drive. Is there any other way to travel? You can travel by bus. It's very cheap. Can't I travel by train? Yes, you can. The train is expensive in the States, but it's fast. Thank you very much. Well, must be off now. See you when I get back. Good luck and have a good trip! ",happens before,gen,"get back","Hello, Yang Mei","go and see my grandparents","plane leaves",0
16,daily-dialogue-1008-triplet-3,0,"What prerequisite does 'remittance' have?","Good morning , may I help you ? Good morning . I want to remit 1,000 yuan to my sister in Shanghai . Please fill out this form . OK ... Do I need to put on my sister's name for the receiver ? Yes . You must put on her name and address . OK , I see . Here you are . Is that OK now ? Let me check . Yes . Your 1,000 remittance , please . Here you are . What is the rate ? This rate is one percent . That will be 10 yuan . OK . When will this remittance arrive ? Generally it will arrive within three days . That's good . receiver's name and address",has prerequisite,gen,"receiver's name and address","name and address","rate","one percent",0
1890,dream-0035-triplet-1,0,"What does 'it won't be on video till next year' cause?","Did you enjoy it? Not really. I thought it was rather disappointing. Oh? Why is that? It wasn't really what I expected. It went on too long. No. But you must admit that on the big screen, it looked great. Well, I think it would have been just as good as seeing it at home. Ah, But it won't be on video till next year. I can't wait that long. after watching a movie",causes,gen,"wasn't really what I expected","wait that long","can't wait that long","won't be on video",1
1063,mutual-0280-triplet-5,0,"What desire is caused by 'it 's wet'?","mom , i 'm flying to visit uncle lee 's family next saturday . should i pack my bags today ? yes , i think so . ok. what clothes should i take ? i know it 's hot there . yes , but it rains a lot . you can borrow an umbrella or a jacket if it 's wet . just pack some t-shirts . ok. and who is meeting me at the airport ? well , uncle lee and aunt wong will be busy , but your cousin susan can pick you up . ",causes desire,gen,"borrow","pack some t-shirts","jacket","flying to visit uncle lee 's family",2
2607,dream-0086-triplet-4,0,"Which goal motivates the act/action 'see the West End'?","Good morning, Madam. Can I help you? Yes, er...I want to see the West End. How much time do you have? Just one day. Well, what do you particularly want to do? I want to visit museums, art galleries, Buckingham Palace, do some shopping, and go to the theaters. But you only have one day. That's right. Well. Why not do some shopping first? Where can I do that? In Oxford Street. How can I get there? You can walk through Hyde Park. It's quite near. Wonderful. Thanks for your help. You're welcome. Have a good time! ",motivated by goal,gen,"How much time","help","art galleries","How can I get there",2
1304,daily-dialogue-0070-triplet-2,0,"Where is 'show' located?","Are you enjoying your trip to New Orleans ? Oh , yes . I really like it here . Would you like to do something tonight ? Sure . I'd love to . Let's see . Have you been to a jazz club yet ? Yes . I've already been to several clubs here . OK . What about an evening riverboat tour ? Uh , actually , I've gone twice this week . So , what do you want to do ? Well , I haven't been to the theater in a long time . Oh , OK . I hear there's a terrific show at the Sanger Theater . Great ! Let's make a reservation . ",at location,gen,"theater","Theater","Yes","do something tonight",1
1538,daily-dialogue-0154-triplet-3,0,"What is an antonym of 'failed the English exam'?","Bill , I must tell you the truth . You failed the English exam again . Ah ? Really ? That stinks ! Haha . April Fool's ! Did you forget what day it is today ? Wow , you were pulling my leg all along . I was really fooled . Alright , now let's be serious . Actually , you get high marks in the exam . fool people joking",antonym,gen,"April Fool'","get high marks in the exam","fool people joking","high marks",1
649,dream-0261-triplet-11,0,"What is 'stealing more things' obstructed by?","Oh god! Look at the mess. Somebody's broken in. The back door's open. They mustn't have got in that way. I locked it. What about the windows? The bathroom window is open. Surely they must have climbed through that. Yeah. Wow, the television is gone. They must have had a car or a truck. My camera's here, but the radio's gone. Nothing else has been stolen. All your jeweler is here, but our daughter's toy is broken. Thank goodness. They can't have been here long. No, I think we must have disturbed them. They must have heard us coming and got out of the bathroom window quickly. Yes, well, hurry up. We'd better phone the police. thieves broke into the house carrying the television reporting the break in  stealing more things getting through backdoor",obstructed by,gen,"police","They can't have been here long","windows","stolen",1
3979,dream-0495-triplet-6,0,"What does 'Mr. Tim' have?","Good morning, Mr. Tim. It's a long time since I had the pleasure of a visit from you. Yes, it must be three or four years. I haven't visited you since I called about my will. You helped me with that, you remember? Yes, I remember. Do you want to make any changes in your will? I don't think that will be necessary, but you'll tell me if it is. I left everything, you remember, to my wife, and, after her death, to my son Jerry. I've about $ 15 000 in shares of industrial companies. These bring in, after paying tax, about $ 1 125 a year. Well, I'm earning a good salary now, and I shall get a good pension from my employers, so my wife and I can live fairly comfortably with this extra income. I want to buy some land and build a house for my son. It's time he get married, and he needs a house. I'm thinking of building one and giving it to him. Your son's fortunate. So you want my help buying the land and building the house. Yes, that's right. As soon as you've done what's necessary for buying the land, Jerry and I will see an architect. Have you found a plot yet? Jerry was in Edinburgh last Saturday and saw a plot he likes. My wife and I went there two days ago, and we liked it, too. I'd like you to make the necessary inquiries for me. I'd be pleased to do that. I shall have to write to the Local Authority and inquire whether it is allowed to build a house on your piece of land. You're not allowed to build a house without permission from the Planning Authority. And sometimes the Authority decides that a house must be built of stone, and not of brick, so that it doesn't spoil the surrounding village. ",has a,gen,"to do that","paying tax","tell me","son Jerry",3
2225,mutual-0096-triplet-9,0,"What does 'there nice and cheap' cause?","being away from home for college can be stressful . besides all the pressures of study , there 's the pressure on your pocket . today , let 's go to a university to find out . excuse me . can i ask you a few questions ? well , ok . how do you find the cost of living in the city ? everything is expensive , including clothing , housing and traveling . so what do you spend most on ? transport i think . for food , if i cook myself , it 's not expensive at all . for clothing , i bring my clothes here from my home country where there nice and cheap . but every week i have to spend more than 100 pounds on the trains . having an interview",causes,gen,"spend more than 100 pounds","it 's not expensive","i bring my clothes here from my home country","pressure on your pocket",2
3657,dream-0849-triplet-1,0,"What is 'get up' obstructed by?","What time do you usually get up in the morning? I sleep in every morning, sometimes until 11 or 12. Are you serious? I get up at 5 every morning to go to the gym, and then I get to work around 7. Well, I work from home, so I can set my own hours. I usually work until midnight or 1 in the morning, and then I like to sleep in. I like to be in bed around 9 or 10 at night so I can get enough sleep. Our schedules are very different! You're lucky that you get to set your own schedule, but I could never sleep that late. I'm definitely a morning person. And I'm definitely a night person. Waking up early is so terrible. Maybe we should switch schedules for a week! No way! I would never want your schedule. Very funny... What are you doing today? Well, it's Saturday, so I was thinking of taking a hike. Would you like to come? Sure. Can we go to see a movie afterwards? I don't really like movies, actually. Can we do something else? Sure, but I have to work tomorrow, even though it's Sunday, so I do need to be home around 9. ",obstructed by,gen,"sleep","get enough sleep","get to work","could never sleep that late",0
654,dream-0262-triplet-2,0,"What desire is caused by 'walking to a very high floor'?","Oh, I wish we had taken the lift. Cheer up. It's already on the 8th floor. But I am really tired out. Just think it's helpful for our health. Possibly, but if I know it was so far up, I wouldn't have suggested walking. walking to a very high floor",causes desire,gen,"wouldn't have suggested walking","helpful","wish we had taken the lift","Cheer up",2
3453,dream-0808-triplet-9,0,"What does 'did not appear into key magazines' cause?","Can we make you an offer? We would like to run the campaign for four extra weeks. Well, can we summarize the problem from my point of view? First of all, the campaign was late. It missed two important trade affairs. The ads also did not appear into key magazines. As a result, the campaign failed. Do you accept that summary of what happened? Well, the delay wasn't entirely our fault. You did in fact make late changes to the specifications of the advertisements. Uh, actually, you were late with the initial proposals so you have very little time and in fact, we only asked for small changes. Well whatever, can we repeat our offer to run the campaign for 4 extra weeks? That's not really the point. The campaign missed two key trade affairs. Because of this, we are asking you either to repeat the campaign next year for free, or we only pay 50% of the fee for this year. Could we suggest a 20% reduction to the fee together with the four week sustention to the campaign. We are not happy. We lost business. I think we both made mistakes. The responsibility is on both sides. Ok, let's suggest a new solution. How about a 40% cut in fee, or a free repeat campaign? Well, let's take a break, we're not getting very far. Perhaps we should think about this. ",causes,gen,"accept that summary of what happened","lost business","to repeat the campaign next year for free","free repeat campaign",1
1028,mutual-0264-triplet-4,0,"What desire is caused by 'interested in your paper'?","jenny , thank you for your help with my paper . it 's my pleasure if i have done something helpful to you . i am really grateful for the reference books you offered me . but for the materials , i would not have written my paper so quickly . it 's nice of you to say so . i am interested in your paper and i happen to have some books on the topic . your books are important to me . besides , you have given me some very good suggestions . i really thank you so much . you are welcome . writing paper",causes desire,gen,"thank you for your help with my paper","welcome","given me some very good suggestions","done something helpful to you",2
1914,dream-0038-triplet-4,0,"What does 'bad luck' cause?","Did you go out today? With my bad luck? What good would it have done if I'd gone out? If you'd looked for a job,you might have found one. But I've been looking for one over a year. Today wouldn't have been any different. I know how bad you feel, but if you don't keep on looking, you'll never get a job. If I'd stayed in Puerto Rico in the first place, I wouldn't have had so much trouble. What would you have done? There are more people out of work there than there are here. I could have had a farm of my own if I'd stayed there. You? Up the mountains, with nobody to talk to, but the children? I don't like the city. There are too many people. There's too much noise, too much dust. I like here. Yes, because your brother's here. This is really your home. Well, maybe we should go to Puerto Rico for a visit anyway. You could see Andis Nanco. You really mean that? I'd like to see the island again and feel the sunshine and here everyone's speaking Spanish. not able to find a job children need to taken care of",causes,gen,"don't like the city","go out today","I've been looking for one over a year","not able to find a job",3
3117,dream-0349-triplet-3,0,"What is implied by 'snows a lot'?","When do you take your winter holiday? I usually take it during the second or third week of January. Do you like to ski? Yes, I love to go skiing. Where do you go? I go to a hotel in the mountains. Is it far from here? It's about a hundred miles away. Does it get cold? Oh, yes! It gets very cold. It snows a lot. Do you go alone? A couple of my friends usually go with me. Do you want to come along some weekend? No, not me. I don't like cold weather. I really like it. I love snow! ",implies,gen,"you","far","winter holiday","cold",3
2569,daily-dialogue-3517-triplet-4,0,"What is 'skating'?","What are you reading ? Gee ! You scared me ! Aha , Fitness Consultant . Very good , Don't you know about the rules in this office ? Yes , Ma'am . No magazines during the office hours . I'm sorry . Well , don't do this again next time . What is it about , anyway ? It is about sports for white-collar workers , people like you and me . What kind of sports ? Aerobic sports , for example , jogging , yoga , skating ... Interesting . What were you reading just now ? Stretching exercise after sitting a long time . Really ? That sounds interesting ! Can I have my magazine back now ? No . It's confiscated for now . And I will return it to you after I finish reading it . ",is a,gen,"interesting","it","rules","Aerobic sports",3
3242,dream-0375-triplet-4,0,"Which goal motivates the act/action 'sends messages to her friends'?","You look upset these days. Anything wrong? Not really, I'm just worried about my daughter. Oh, you mean Susan. Why? She's such a nice girl. Yeah I know. But somehow she's become different recently. In what ways? What has she done? Oh, no, you don't really want to hear it. Come on. I am a mother of two girls. Ok. I'm worried because she often hides in her room and sends messages to her friends. Come on. It's not a big deal. She needs friends at this age. You can talk with her if you are really concerned. I guess so. Anyway, she is growing up. ",motivated by goal,gen,"sends messages to her friends","Ok","needs friends","Come on.",2
4184,dream-0704-triplet-1,0,"What is implied by 'snowing'?","Look! It's snowing. Winter is here at last. It's really cold today. Yes, you have to get used to it. The weather's going to be like this for the next three months. Then I'm going to Florida. Can you tell me about your weather diary? Why do you make notes about the different types of weather? Because it's interesting to see what the weather is like at different times and on different days. For example, we had very interesting weather on the 28th of April. Really? Yes. On the 28th of April, it was sunny while I was eating my breakfast. I'm sure everybody thought it would be a sunny day. What happened? At lunch, the sky became cloudy. In the afternoon, at four, the sky was black and it rained heavily. That was really an unusual day. I think you should be a weather reporter. You know a lot about the weather. Thanks. I want to be a weather reporter when I finish school. It's an exciting job. ",implies,gen,"get used to it","it rained heavily","Winter is here","Really",2
3422,dream-0804-triplet-2,0,"What is implied by 'can't give you any of them'?","Can I help you? Yes, I'd like to read some articles that are on reserve about British culture. Professor Grand's class? That's right. How could you know? Let's just say you are not the first person coming in asking for those articles. Oh, well, seeing as how I haven't read any of them yet, it doesn't really matterwhich one you give me first. I'm afraid I can't give you any of them at the moment. They've all been checked out. You're joking, all of them? Every month. I've asked professor Grand twice already to bring in additional copies of the articles, but no sooner do I place them on the shelves than they are gone. See that girl in the black sweater? She's been waiting for half an hour for those same articles to be returned. And here's me. I went out of my way to free out the whole afternoon to read. I'm sorry, but there is not a whole lot I can do about it. All I can suggest is that you come in first thing tomorrow morning and try again. We open at eight. ",implies,gen,"free out the whole afternoon to read","waiting for half an hour","They've all been checked out","not a whole lot I can do about it",2
3614,dream-0838-triplet-1,0,"What property does 'a machine operator' have?","Do you mind telling me about your work in the factory? Certainly not. I'm a machine operator working in the assembly workshop. Oh, are you? Then you have a six-day week, don't you? Yes. And we work eight hours a day, but this includes a one -hour break. What about the huge machines used in your factory? I know you make heavy machines yourselves. But I wonder if you also use machines imported from abroad. Most of them are made in China, some even by our factory. Only a few were bought from other countries. But I see the machines turned out here are quite modem and efficient. Following the national policy of self - reliance and hard - working struggle, we've tried our best in the past few years to improve our equipment. However, there is still a lot more to do. Now the question about yourself. I hope you don't mind it. How much do you earn each month? My monthly wage is 3,500 RMB, not including the extra pay of about 500 for extra work I put in. That sounds reasonable indeed. I'm very interested in worker's welfare here. What other benefits do you workers get, I wonder? Like other factories in China, our factory offers free medical service for workers. ",has property,gen,"bought from other countries","have a six-day week","reasonable","machines",1
